Shape,Clarity,Color,Shape-Color-Clarity,Begin Size,End Size,List,Date
PS,VVS2,M,PS-M-VVS2-0.23,0.23,0.29,780,7/5/2024
PS,VS1,M,PS-M-VS1-0.23,0.23,0.29,660,7/5/2024
PS,VS2,M,PS-M-VS2-0.23,0.23,0.29,660,7/5/2024
PS,SI1,M,PS-M-SI1-0.23,0.23,0.29,550,7/5/2024
PS,SI2,M,PS-M-SI2-0.23,0.23,0.29,480,7/5/2024
PS,SI3,M,PS-M-SI3-0.23,0.23,0.29,420,7/5/2024
PS,I1,M,PS-M-I1-0.23,0.23,0.29,310,7/5/2024
PS,I2,M,PS-M-I2-0.23,0.23,0.29,240,7/5/2024
PS,I3,M,PS-M-I3-0.23,0.23,0.29,170,7/5/2024
PS,IF,N,PS-N-IF-0.23,0.23,0.29,780,7/5/2024
PS,VVS1,N,PS-N-VVS1-0.23,0.23,0.29,780,7/5/2024
PS,VVS2,N,PS-N-VVS2-0.23,0.23,0.29,780,7/5/2024
PS,VS1,N,PS-N-VS1-0.23,0.23,0.29,660,7/5/2024
PS,VS2,N,PS-N-VS2-0.23,0.23,0.29,660,7/5/2024
PS,SI1,N,PS-N-SI1-0.23,0.23,0.29,550,7/5/2024
PS,SI2,N,PS-N-SI2-0.23,0.23,0.29,480,7/5/2024
PS,SI3,N,PS-N-SI3-0.23,0.23,0.29,420,7/5/2024
PS,I1,N,PS-N-I1-0.23,0.23,0.29,310,7/5/2024
PS,I2,N,PS-N-I2-0.23,0.23,0.29,240,7/5/2024
PS,I3,N,PS-N-I3-0.23,0.23,0.29,170,7/5/2024
PS,IF,D,PS-D-IF-0.3,0.3,0.39,2500,7/5/2024
PS,VVS1,D,PS-D-VVS1-0.3,0.3,0.39,2300,7/5/2024
PS,VVS2,D,PS-D-VVS2-0.3,0.3,0.39,2100,7/5/2024
PS,VS1,D,PS-D-VS1-0.3,0.3,0.39,1900,7/5/2024
PS,VS2,D,PS-D-VS2-0.3,0.3,0.39,1800,7/5/2024
PS,SI1,D,PS-D-SI1-0.3,0.3,0.39,1700,7/5/2024
PS,SI2,D,PS-D-SI2-0.3,0.3,0.39,1500,7/5/2024
PS,SI3,D,PS-D-SI3-0.3,0.3,0.39,1300,7/5/2024
PS,I1,D,PS-D-I1-0.3,0.3,0.39,1000,7/5/2024
PS,I2,D,PS-D-I2-0.3,0.3,0.39,800,7/5/2024
PS,I3,D,PS-D-I3-0.3,0.3,0.39,600,7/5/2024
PS,IF,E,PS-E-IF-0.3,0.3,0.39,2300,7/5/2024
PS,VVS1,E,PS-E-VVS1-0.3,0.3,0.39,2100,7/5/2024
PS,VVS2,E,PS-E-VVS2-0.3,0.3,0.39,1900,7/5/2024
